4000,,,
Jacob Ross,199010000,4.3,121197
Chloe Davies,199710001,4.1,121164
Adrian Tucker,201110002,2,121124
Dominic Cameron,200610003,1.6,121207
Abigail Ross,199810004,3,121192
Jake Robertson,199910005,1.5,121188
Sam Campbell,199710006,2.6,121211
Kylie Buckland,199510007,3.7,121186
Justin Davidson,201110008,3.8,121143
Elizabeth White,200910009,1,121134
Dylan Cameron,200410010,4.1,121202
Neil Langdon,200810011,2.7,121140
Katherine Jones,199810012,1.9,121205
Rebecca Terry,199910013,3.3,121197
Jasmine Fraser,199310014,4.4,121174
Michelle Cornish,199010015,3.9,121207
James Dickens,200210016,1.7,121137
Cameron Wallace,199910017,2.7,121134
Lily MacDonald,200310018,3.3,121200
Frank Gray,200510019,2.2,121174
Rebecca Walker,199710020,4.1,121173
William James,200510021,1.7,121203
Luke Wallace,199810022,3.7,121124
Michelle Campbell,199710023,2.9,121112
Piers Johnston,201110024,2.6,121188
Megan Harris,200410025,2.6,121150
Maria Morrison,201710026,3.6,121173
Hannah Reid,200410027,1.1,121172
Sue Rees,201410028,3.1,121120
Vanessa Metcalfe,200110029,2.6,121209
Nicola May,199910030,2.9,121168
Matt Robertson,200810031,1.1,121124
Adrian Marshall,200810032,1.6,121114
Wendy Ferguson,199210033,1.3,121192
Christian Avery,199810034,1,121196
Carolyn Ellison,200010035,2.1,121131
John Davies,200510036,1.7,121122
Jessica Fisher,199810037,3.3,121166
Stephen Davies,200310038,2.9,121150
Leonard Walker,201110039,3.5,121139
Sue Russell,200710040,4.3,121130
Angela Davidson,199010041,3.8,121184
Rachel Roberts,201610042,2.7,121199
Robert Smith,200910043,1.9,121209
Ella Slater,200810044,4,121119
Blake King,200410045,1.7,121182
Rachel Coleman,199810046,1.1,121152
Abigail Walker,201710047,1.9,121207
Sophie Mathis,201710048,4.1,121154
Fiona May,200110049,3.4,121206
Thomas Russell,199910050,1.7,121119
Kimberly Anderson,200610051,1.8,121112
James Churchill,201110052,1.4,121177
Harry Rutherford,200310053,2.3,121196
Ruth Mackay,200610054,4.1,121170
Faith Campbell,200710055,2.4,121178
Nathan Peters,199610056,2.2,121132
Una Buckland,200110057,4.5,121210
Tim MacLeod,199910058,1.5,121112
Felicity Vaughan,200210059,3.4,121113
Carol Terry,200610060,3.2,121139
Jasmine Buckland,201710061,1.5,121141
Sue Hunter,200110062,4.1,121137
Jane Johnston,200210063,2.9,121112
Una Forsyth,201010064,3.1,121190
Diane Martin,200310065,4.1,121179
Carl Hardacre,200510066,2.7,121202
Hannah Abraham,199710067,4.3,121129
Cameron Newman,199510068,3.5,121180
Joanne Sanderson,199310069,2.6,121187
Rebecca Pullman,200410070,1.6,121207
Caroline Oliver,199910071,1.9,121141
Emily Robertson,200310072,1.1,121176
Nathan Thomson,199010073,2.4,121203
Mary Arnold,200210074,2.7,121135
Kylie Knox,200310075,3.1,121208
Bernadette Hardacre,199510076,1.6,121111
Faith Knox,201310077,3.4,121133
Maria Ogden,199610078,1.9,121149
Sonia Fraser,201110079,2.8,121179
Jan Vance,199810080,4.1,121138
Sophie Carr,200510081,4.3,121113
Kimberly James,200310082,3.6,121160
Virginia Rees,199610083,4.1,121165
Jack Peake,201210084,2.7,121156
Samantha Fraser,200410085,1.7,121155
Julia Wilkins,201110086,3.8,121192
Nathan North,200510087,1.7,121170
Amy Underwood,200110088,2.5,121172
Dan Morrison,200610089,4.1,121143
Mary Peters,201010090,2.6,121114
Faith Chapman,200810091,1.7,121178
Carol Smith,199110092,1.1,121192
Isaac Miller,199110093,1.1,121139
Sarah Piper,200010094,2.8,121179
Isaac Rampling,200510095,3,121116
